well,reporter,label,replicate,label_order
B2,pPBHS123,SV40-no-Nluc,1,NA
B3,pPBHS124,SV40,1,2
B4,pASHS62,Base,1,1
B5,pASHS63,GAPDH-frag-no-stop-gp48UTR,1,8
B6,pASHS64,gp48UTR,1,4
B7,pASHS65,GAPDH-frag,1,3
B8,pTBHS1,gp48UTR-no-stall,1,5
B9,pTBHS2,gp48UTR-no-AUG,1,6
B10,pTBHS3,gp48UTR-stronger-start,1,7
B11,pTBHS4,GAPDH-frag-stop-gp48UTR,1,9
C11,pPBHS123,SV40-no-Nluc,2,NA
C10,pPBHS124,SV40,2,2
C9,pASHS62,Base,2,1
C8,pASHS63,GAPDH-frag-no-stop-gp48UTR,2,8
C7,pASHS64,gp48UTR,2,4
C6,pASHS65,GAPDH-frag,2,3
C5,pTBHS1,gp48UTR-no-stall,2,5
C4,pTBHS2,gp48UTR-no-AUG,2,6
C3,pTBHS3,gp48UTR-stronger-start,2,7
C2,pTBHS4,GAPDH-frag-stop-gp48UTR,2,9
D2,pPBHS123,SV40-no-Nluc,3,NA
D3,pPBHS124,SV40,3,2
D4,pASHS62,Base,3,1
D5,pASHS63,GAPDH-frag-no-stop-gp48UTR,3,8
D6,pASHS64,gp48UTR,3,4
D7,pASHS65,GAPDH-frag,3,3
D8,pTBHS1,gp48UTR-no-stall,3,5
D9,pTBHS2,gp48UTR-no-AUG,3,6
D10,pTBHS3,gp48UTR-stronger-start,3,7
D11,pTBHS4,GAPDH-frag-stop-gp48UTR,3,9
E2,mock,mock,1,NA
F2,mock,mock,2,NA
G2,mock,mock,3,NA
E12,mock,mock,4,NA
F12,mock,mock,5,NA
G12,mock,mock,6,NA
