reporter,label,label_order,ratio,mean_ratio,se_ratio
pASHS64,gp48UTR,4,5.03,-4.49,0.17
pTBHS1,gp48UTR-no-stall,5,9.43,-0.04,0.21
pTBHS2,gp48UTR-no-AUG,6,9.08,0,0.2
pTBHS3,gp48UTR-stronger-start,7,2.94,-5.93,0.32
pTBHS3,gp48UTR-stronger-start,7,4,-5.93,0.32
pTBHS2,gp48UTR-no-AUG,6,9.74,0,0.2
pTBHS1,gp48UTR-no-stall,5,9.82,-0.04,0.21
pASHS64,gp48UTR,4,5.27,-4.49,0.17
pASHS64,gp48UTR,4,4.67,-4.49,0.17
pTBHS1,gp48UTR-no-stall,5,9.1,-0.04,0.21
pTBHS2,gp48UTR-no-AUG,6,9.63,0,0.2
pTBHS3,gp48UTR-stronger-start,7,3.72,-5.93,0.32
