well,fluc,nluc,reporter,label,replicate,label_order
E2,0.33333333333333337,47.5,mock,mock,1,NA
F2,-1.6666666666666665,24.5,mock,mock,2,NA
G2,2.3333333333333335,-0.5,mock,mock,3,NA
E12,-0.6666666666666666,-9.5,mock,mock,4,NA
F12,0.33333333333333337,-14.5,mock,mock,5,NA
G12,-0.6666666666666666,-47.5,mock,mock,6,NA
B2,1.3333333333333335,-47.5,pPBHS123,SV40-no-Nluc,1,NA
B3,42.333333333333336,93569.5,pPBHS124,SV40,1,2
B4,49.333333333333336,14137.5,pASHS62,Base,1,1
B5,53.333333333333336,2289.5,pASHS63,GAPDH-frag-no-stop-gp48UTR,1,8
B6,78.33333333333333,2566.5,pASHS64,gp48UTR,1,4
B7,53.333333333333336,13661.5,pASHS65,GAPDH-frag,1,3
B8,193.33333333333334,133562.5,pTBHS1,gp48UTR-no-stall,1,5
B9,47.333333333333336,25693.5,pTBHS2,gp48UTR-no-AUG,1,6
B10,83.33333333333333,641.5,pTBHS3,gp48UTR-stronger-start,1,7
B11,55.333333333333336,10588.5,pTBHS4,GAPDH-frag-stop-gp48UTR,1,9
C2,25.333333333333332,4221.5,pTBHS4,GAPDH-frag-stop-gp48UTR,2,9
C3,48.333333333333336,771.5,pTBHS3,gp48UTR-stronger-start,2,7
C4,48.333333333333336,41439.5,pTBHS2,gp48UTR-no-AUG,2,6
C5,104.33333333333333,94370.5,pTBHS1,gp48UTR-no-stall,2,5
C6,38.333333333333336,14539.5,pASHS65,GAPDH-frag,2,3
C7,147.33333333333334,5680.5,pASHS64,gp48UTR,2,4
C8,49.333333333333336,3793.5,pASHS63,GAPDH-frag-no-stop-gp48UTR,2,8
C9,55.333333333333336,15567.5,pASHS62,Base,2,1
C10,30.333333333333332,46577.5,pPBHS124,SV40,2,2
C11,1.3333333333333335,-50.5,pPBHS123,SV40-no-Nluc,2,NA
D2,1.3333333333333335,41.5,pPBHS123,SV40-no-Nluc,3,NA
D3,40.333333333333336,119597.5,pPBHS124,SV40,3,2
D4,50.333333333333336,20269.5,pASHS62,Base,3,1
D5,55.333333333333336,3177.5,pASHS63,GAPDH-frag-no-stop-gp48UTR,3,8
D6,154.33333333333334,3938.5,pASHS64,gp48UTR,3,4
D7,99.33333333333333,41131.5,pASHS65,GAPDH-frag,3,3
D8,112.33333333333333,61684.5,pTBHS1,gp48UTR-no-stall,3,5
D9,86.33333333333333,68562.5,pTBHS2,gp48UTR-no-AUG,3,6
D10,71.33333333333333,941.5,pTBHS3,gp48UTR-stronger-start,3,7
D11,43.333333333333336,7044.5,pTBHS4,GAPDH-frag-stop-gp48UTR,3,9
